Position,Const,Created,Modified,Description,Name,Known For,Birth Date
460,nm2018237,2024-01-08,2024-01-08,"5672 points","Taylor Kitsch","X-Men Origins: Wolverine","8 апреля 1981 г."
461,nm0302330,2024-01-08,2024-03-04,"5663 points","John Gallagher Jr.","10 Cloverfield Lane","17 июня 1984 г."
462,nm0085038,2024-01-08,2024-01-08,"5645 points","Gunnar Björnstrand","Persona","13 ноября 1909 г."
463,nm0000859,2024-01-08,2024-01-08,"5642 points","Lionel Barrymore","You Can't Take It with You","28 апреля 1878 г."
464,nm0618057,2024-01-08,2024-01-08,"5601 points","Ulrich Mühe","Das Leben der Anderen","20 июня 1953 г."
465,nm0000203,2024-01-08,2024-01-08,"5592 points","River Phoenix","My Own Private Idaho","23 августа 1970 г."
466,nm0000346,2024-01-08,2024-03-18,"5566 points","Macaulay Culkin","Home Alone","26 августа 1980 г."
467,nm0000409,2024-01-08,2024-03-09,"5442 points","Brendan Fraser","The Mummy","3 декабря 1968 г."
468,nm0000552,2024-01-08,2024-01-08,"5380 points","Eddie Murphy","The Nutty Professor","3 апреля 1961 г."
469,nm0190744,2024-01-08,2024-01-08,"5378 points","Marton Csokas","Æon Flux","30 июня 1966 г."
470,nm0000698,2024-01-08,2024-01-08,"5349 points","Gene Wilder","Willy Wonka & the Chocolate Factory","11 июня 1933 г."
471,nm0000652,2024-01-08,2024-01-08,"5293 points","James Spader","The Blacklist","7 февраля 1960 г."
472,nm0000059,2024-01-08,2024-01-08,"5245 points","Laurence Olivier","Sleuth","22 мая 1907 г."
473,nm0001262,2024-01-08,2024-01-08,"5142 points","Ben Gazzara","Road House","28 августа 1930 г."
474,nm1561982,2024-01-08,2024-01-08,"5118 points","Pilou Asbæk","Ghost in the Shell","2 марта 1982 г."
475,nm1249052,2024-01-08,2024-01-08,"5117 points","Riccardo Scamarcio","John Wick: Chapter 2","13 ноября 1979 г."
476,nm0519043,2024-05-06,2024-05-06,"5092 points","Justin Long","Live Free or Die Hard","2 июня 1978 г."
477,nm1269088,2024-01-08,2024-01-08,"5077 points","David Kross","The Reader","4 июля 1990 г."
478,nm0002231,2024-01-08,2024-01-08,"5068 points","Gian Maria Volontè","Per un pugno di dollari","9 апреля 1933 г."
479,nm0000389,2024-01-08,2024-01-08,"5045 points","Emilio Estevez","The Way","12 мая 1962 г."
480,nm0000053,2024-01-08,2024-01-08,"5041 points","Robert Mitchum","Out of the Past","6 августа 1917 г."
481,nm0001588,2024-01-08,2024-01-08,"5018 points","Jack Palance","City Slickers","18 февраля 1919 г."
482,nm1013003,2024-01-08,2024-01-08,"5018 points","Michael Ealy","Barbershop","3 августа 1973 г."
483,nm0000144,2024-01-08,2024-01-08,"4925 points","Cary Elwes","Saw","26 октября 1962 г."
484,nm0001697,2024-01-08,2024-01-08,"4925 points","Chris Sarandon","The Nightmare Before Christmas","24 июля 1942 г."
485,nm0376540,2024-05-10,2024-05-10,"4918 points","Martin Henderson","Smokin' Aces","8 октября 1974 г."
486,nm0000549,2024-01-08,2024-01-08,"4843 points","Roger Moore","Moonraker","14 октября 1927 г."
487,nm0001500,2024-01-08,2024-01-08,"4779 points","Karl Malden","A Streetcar Named Desire","22 марта 1912 г."
488,nm0000608,2024-01-08,2024-01-08,"4753 points","Burt Reynolds","Boogie Nights","11 февраля 1936 г."
489,nm0001075,2024-01-08,2024-01-08,"4753 points","Peter Coyote","Bitter Moon","10 октября 1941 г."
490,nm0001228,2024-01-08,2024-01-08,"4734 points","Peter Fonda","Easy Rider","23 февраля 1940 г."
491,nm2930503,2024-01-08,2024-01-08,"4703 points","Jack Reynor","The Peripheral","23 января 1992 г."
492,nm0034390,2024-01-08,2024-01-08,"4689 points","Niels Arestrup","Un prophète","8 февраля 1949 г."
493,nm0001006,2024-01-08,2024-01-08,"4684 points","John Candy","Planes, Trains & Automobiles","31 октября 1950 г."
494,nm1486911,2024-01-08,2024-01-08,"4620 points","Shahab Hosseini","Jodaeiye Nader az Simin","3 февраля 1974 г."
495,nm0272224,2024-01-08,2024-01-08,"4610 points","Heino Ferch","Der Untergang","18 августа 1963 г."
496,nm0813463,2024-01-08,2024-01-08,"4608 points","Anatoliy Solonitsyn","Stalker","30 августа 1934 г."
497,nm0534045,2024-01-08,2024-01-08,"4597 points","Fred MacMurray","Double Indemnity","30 августа 1908 г."
498,nm0365317,2024-01-08,2024-01-08,"4591 points","Sean Harris","Mission: Impossible - Rogue Nation","1966"
499,nm0001725,2024-01-08,2024-01-08,"4558 points","Omar Sharif","Lawrence of Arabia","10 апреля 1932 г."
500,nm0001366,2024-01-08,2024-01-08,"4538 points","Leslie Howard","Pygmalion","3 апреля 1893 г."
501,nm0000078,2024-01-08,2024-01-08,"4453 points","John Wayne","True Grit","26 мая 1907 г."
502,nm0001494,2024-01-08,2024-01-08,"4451 points","Ralph Macchio","The Karate Kid Part III","4 ноября 1961 г."
503,nm0402271,2024-01-08,2024-01-08,"4445 points","Charlie Hunnam","Sons of Anarchy","10 апреля 1980 г."
504,nm1659221,2024-01-08,2024-01-08,"4400 points","Sebastian Stan","Captain America: The Winter Soldier","13 августа 1982 г."
505,nm0000111,2024-01-08,2024-03-11,"4310 points","Matthew Broderick","The Producers","21 марта 1962 г."
506,nm0001085,2024-01-08,2024-01-08,"4310 points","Kieran Culkin","Succession","30 сентября 1982 г."
507,nm0000018,2024-01-08,2024-01-08,"4282 points","Kirk Douglas","The Final Countdown","9 декабря 1916 г."
508,nm0000334,2024-01-08,2024-01-08,"4256 points","Chow Yun-Fat","Wo hu cang long","18 мая 1955 г."
509,nm0000563,2024-01-08,2024-01-08,"4228 points","Chris O'Donnell","Batman & Robin","26 июня 1970 г."
510,nm0002071,2024-01-08,2024-01-08,"4194 points","Will Ferrell","Talladega Nights: The Ballad of Ricky Bobby","16 июля 1967 г."
511,nm0002006,2024-01-08,2024-01-08,"4135 points","Thomas Haden Church","Sideways","17 июня 1960 г."
512,nm0559890,2024-01-08,2024-01-08,"4108 points","Ulrich Matthes","Der Untergang","9 мая 1959 г."
513,nm0761420,2024-01-08,2024-01-08,"4093 points","Otto Sander","Der Himmel über Berlin","30 июня 1941 г."
514,nm0633947,2024-01-08,2024-01-08,"4108 points","Ulrich Noethen","Der Untergang","18 ноября 1959 г."
515,nm0632457,2024-01-08,2024-01-08,"4087 points","Merab Ninidze","McMafia","3 ноября 1965 г."
516,nm0001868,2024-01-08,2024-01-08,"4043 points","Michael York","Logan's Run","27 марта 1942 г."
517,nm0001822,2024-01-08,2024-01-08,"3994 points","Robert Wagner","The Towering Inferno","10 февраля 1930 г."
518,nm0000308,2024-01-08,2024-01-08,"3982 points","Ernest Borgnine","Marty","24 января 1917 г."
519,nm0001492,2024-01-08,2024-01-08,"3980 points","Kyle MacLachlan","Twin Peaks: The Return","22 февраля 1959 г."
520,nm0515296,2024-01-08,2024-01-08,"3965 points","Ron Livingston","The Conjuring","5 июня 1967 г."
521,nm5218990,2024-01-08,2024-01-08,"3913 points","Trevante Rhodes","Moonlight","10 февраля 1990 г."
522,nm0001371,2024-01-08,2024-01-08,"3902 points","Tom Hulce","Amadeus","6 декабря 1953 г."
523,nm0000293,2024-02-21,2024-02-21,"3901 points","Sean Bean","The Lord of the Rings: The Fellowship of the Ring","17 апреля 1959 г."
524,nm0000202,2024-01-08,2024-01-08,"3900 points","Ryan Phillippe","Crash","10 сентября 1974 г."
525,nm1449783,2024-01-08,2024-01-08,"3899 points","Stipe Erceg","Die fetten Jahre sind vorbei","30 октября 1974 г."
526,nm0000064,2024-01-08,2024-01-08,"3885 points","Edward G. Robinson","Double Indemnity","12 декабря 1893 г."
527,nm0727165,2024-01-08,2024-01-08,"3876 points","Sam Riley","Control","8 января 1980 г."
528,nm0000977,2024-01-08,2024-01-08,"3839 points","Beau Bridges","The Fabulous Baker Boys","9 декабря 1941 г."
529,nm0001472,2024-01-08,2024-06-08,"3811 points","Jet Li","Huo Yuan Jia","26 апреля 1963 г."
530,nm0408591,2024-01-08,2024-01-08,"3789 points","Ralph Ineson","The VVitch: A New-England Folktale","15 декабря 1969 г."
531,nm0001023,2024-01-08,2024-01-08,"3788 points","John Cassavetes","Rosemary's Baby","9 декабря 1929 г."
532,nm0000348,2024-01-08,2024-01-08,"3774 points","Tony Curtis","Some Like It Hot","3 июня 1925 г."
533,nm0706368,2024-01-08,2024-01-08,"3774 points","George Raft","Some Like It Hot","26 сентября 1901 г."
534,nm0001131,2024-01-08,2024-02-06,"3757 points","Patrick Dempsey","Grey's Anatomy","13 января 1966 г."
535,nm0490489,2024-01-08,2024-01-08,"3752 points","Andy Lau","Mou gaan dou","27 сентября 1961 г."
536,nm3109964,2024-03-08,2024-03-08,"3451 points","Brian Tyree Henry","Spider-Man: Into the Spider-Verse","31 марта 1982 г."
537,nm0634159,2024-01-08,2024-01-08,"3440 points","Philippe Noiret","Nuovo Cinema Paradiso","1 октября 1930 г."
538,nm1183149,2024-01-08,2024-01-08,"3439 points","Edgar Ramírez","Gold","25 марта 1977 г."
539,nm0180580,2024-01-08,2024-01-08,"3393 points","Jose Coronado","El cuerpo","14 августа 1957 г."
540,nm0001627,2024-01-08,2024-01-08,"3386 points","Sidney Poitier","In the Heat of the Night","20 февраля 1927 г."
541,nm0002070,2024-01-08,2024-01-08,"3348 points","Richard Farnsworth","The Straight Story","1 сентября 1920 г."
542,nm0000037,2024-01-08,2024-01-08,"3341 points","Gene Kelly","Singin' in the Rain","23 августа 1912 г."
543,nm0640307,2024-01-08,2024-01-08,"3341 points","Donald O'Connor","Singin' in the Rain","28 августа 1925 г."
544,nm5473782,2024-01-08,2024-01-08,"3328 points","Taron Egerton","Kingsman: The Secret Service","10 ноября 1989 г."
545,nm0646037,2024-01-08,2024-01-08,"3323 points","Daniel Olbrychski","Salt","27 февраля 1945 г."
546,nm0225944,2024-01-08,2024-01-08,"3323 points","August Diehl","Inglourious Basterds","4 января 1976 г."
547,nm0001763,2024-01-08,2024-01-08,"3316 points","Nick Stahl","Sin City","5 декабря 1979 г."
548,nm0001695,2024-01-08,2024-01-08,"3309 points","George Sanders","All About Eve","3 июля 1906 г."
549,nm0451148,2024-01-08,2024-01-08,"3291 points","Aamir Khan","Taare Zameen Par","14 марта 1965 г."
550,nm0335048,2024-01-08,2024-01-08,"3268 points","Farley Granger","Strangers on a Train","1 июля 1925 г."
551,nm0001452,2024-01-08,2024-01-08,"3144 points","Charles Laughton","Witness for the Prosecution","1 июля 1899 г."
552,nm0641939,2024-01-08,2024-01-08,"3126 points","Ryan O'Neal","Love Story","20 апреля 1941 г."
553,nm1002641,2024-01-08,2024-01-08,"3058 points","Dominic Cooper","The Devil's Double","2 июня 1978 г."
554,nm0001421,2024-01-08,2024-01-08,"3038 points","George Kennedy","Cool Hand Luke","18 февраля 1925 г."
555,nm6578009,2024-01-08,2024-01-08,"3003 points","O'Shea Jackson Jr.","Straight Outta Compton","24 февраля 1991 г."
556,nm3659660,2024-01-08,2024-01-08,"3003 points","Corey Hawkins","Straight Outta Compton","22 октября 1988 г."
557,nm4207146,2024-01-08,2024-01-08,"3003 points","Jason Mitchell","Straight Outta Compton","5 января 1987 г."
558,nm0103785,2024-01-08,2024-01-08,"3001 points","Zach Braff","Garden State","6 апреля 1975 г."
559,nm0768614,2024-01-08,2024-01-08,"2991 points","Leonardo Sbaraglia","Dolor y gloria","30 июня 1970 г."
560,nm0002085,2024-01-08,2024-01-08,"2988 points","Gert Fröbe","Goldfinger","25 февраля 1913 г."
561,nm0002145,2024-01-08,2024-01-08,"2965 points","Trevor Howard","The Third Man","29 сентября 1913 г."
562,nm0297054,2024-01-08,2024-01-08,"2963 points","Gustav Fröhlich","Metropolis","21 марта 1902 г."
563,nm1107001,2024-01-29,2024-01-29,"2954 points","Anthony Mackie","The Hurt Locker","23 сентября 1978 г."
564,nm2588665,2024-01-08,2024-01-08,"2923 points","Tahar Rahim","Un prophète","4 июля 1981 г."
565,nm2244852,2024-01-08,2024-01-08,"2913 points","Brian Gleeson","Snow White and the Huntsman","14 ноября 1987 г."
566,nm0001682,2024-01-08,2024-01-08,"2891 point","Mickey Rooney","It's a Mad, Mad, Mad, Mad World","23 сентября 1920 г."
567,nm3102998,2024-01-08,2024-01-08,"2881 points","Bo Burnham","Bo Burnham: Inside","21 августа 1990 г."
568,nm0000009,2024-01-08,2024-01-08,"2827 points","Richard Burton","Who's Afraid of Virginia Woolf?","10 ноября 1925 г."
569,nm0402271,2024-01-08,2024-01-08,"2825 points","Charlie Hunnam","Sons of Anarchy","10 апреля 1980 г."
570,nm1812656,2024-01-08,2024-01-08,"2813 points","Luke Evans","Dracula Untold","15 апреля 1979 г."
571,nm4043618,2024-01-08,2024-01-08,"2804 points","Tom Holland","Spider-Man: Homecoming","1 июня 1996 г."
572,nm0002094,2024-01-08,2024-01-08,"2800 points","Vittorio Gassman","Sleepers","1 сентября 1922 г."
573,nm1504980,2024-01-08,2024-01-08,"2789 points","Sönke Möhring","Inglourious Basterds","12 октября 1972 г."
574,nm0000196,2024-01-08,2024-01-08,"2788 points","Mike Myers","Austin Powers in Goldmember","25 мая 1963 г."
575,nm1302735,2024-01-08,2024-01-08,"2778 points","Max Thieriot","The Pacifier","14 октября 1988 г."
576,nm0001696,2024-01-08,2024-01-08,"2745 points","Julian Sands","A Room with a View","4 января 1958 г."
577,nm0619938,2024-01-08,2024-01-08,"2704 points","Tatsuya Nakadai","Seppuku","13 декабря 1932 г."
578,nm0579663,2024-01-08,2024-01-08,"2666 points","Adolphe Menjou","Paths of Glory","18 февраля 1890 г."
579,nm0000052,2024-01-08,2024-01-08,"2656 points","Marcello Mastroianni","La dolce vita","28 сентября 1924 г."
580,nm0752813,2024-01-08,2024-01-08,"2653 points","Robert Ryan","The Wild Bunch","11 ноября 1909 г."
581,nm0001332,2024-01-08,2024-01-08,"2641 points","Robert Hays","Airplane!","24 июля 1947 г."
582,nm0000558,2024-01-08,2024-01-08,"2641 points","Leslie Nielsen","Airplane!","11 февраля 1926 г."
583,nm0436835,2024-01-08,2024-01-08,"2637 points","Felix Kammerer","Im Westen nichts Neues","19 сентября 1995 г."
584,nm8624059,2024-03-11,2024-03-11,"2627 points","Jacob Elordi","The Kissing Booth","26 июня 1997 г."
585,nm0001290,2024-03-11,2024-03-11,"2627 points","Richard E. Grant","Gosford Park","5 мая 1957 г."
586,nm0473228,2024-01-08,2024-01-08,"2582 points","Hardy Krüger","A Bridge Too Far","12 апреля 1928 г."
587,nm3477129,2024-01-08,2024-01-08,"2637 points","Albrecht Schuch","Im Westen nichts Neues","21 августа 1985 г."
588,nm0004462,2024-01-08,2024-01-08,"2577 points","Jean-Louis Trintignant","Amour","11 декабря 1930 г."
589,nm0051903,2024-01-08,2024-01-08,"2522 points","Claes Bang","The Square","28 апреля 1967 г."
590,nm0194572,2024-01-08,2024-01-08,"2514 points","Javier Cámara","Hable con ella","19 января 1967 г."
591,nm0001537,2024-01-08,2024-01-08,"2509 points","Ray Milland","The Lost Weekend","3 января 1907 г."
592,nm0079273,2024-01-08,2024-01-08,"2492 points","Paul Bettany","WandaVision","27 мая 1971 г."
593,nm0803890,2024-01-08,2024-01-08,"2463 points","Gustaf Skarsgård","Oppenheimer","12 ноября 1980 г."
594,nm1832584,2024-01-08,2024-01-08,"2460 points","Mario Casas","3 metros sobre el cielo","12 июня 1986 г."
595,nm1065929,2024-01-08,2024-01-08,"2428 points","Elyas M'Barek","Fack ju Göhte","29 мая 1982 г."
596,nm3287038,2024-01-08,2024-01-08,"2418 points","Thomas Mann","Me and Earl and the Dying Girl","27 сентября 1991 г."
597,nm5518972,2024-01-08,2024-01-08,"2418 points","RJ Cyler","Me and Earl and the Dying Girl","21 марта 1995 г."
598,nm1981893,2024-01-08,2024-01-08,"2409 points","Riz Ahmed","Sound of Metal","1 декабря 1982 г."
599,nm0750971,2024-01-08,2024-01-08,"2386 points","Simon Russell Beale","The Death of Stalin","12 января 1961 г."
600,nm0000577,2024-01-08,2024-01-08,"2382 points","George Peppard","Breakfast at Tiffany's","1 октября 1928 г."
601,nm0635330,2024-01-08,2024-01-08,"2330 points","Eduardo Noriega","The Last Stand","1 августа 1973 г."
602,nm0147308,2024-01-08,2024-01-08,"2319 points","Fernando Cayo","El orfanato","22 апреля 1968 г."
603,nm0521974,2024-01-08,2024-01-08,"2316","Todd Louiso","High Fidelity","27 января 1970 г."
604,nm0374865,2024-01-08,2024-01-08,"2310 points","Simon Helberg","Florence Foster Jenkins","9 декабря 1980 г."
605,nm0175916,2024-01-08,2024-02-07,"2309 points","Paddy Considine","Dead Man's Shoes","5 сентября 1973 г."
606,nm0000989,2024-01-08,2024-01-08,"2283 points","Yul Brynner","The King and I","11 июля 1920 г."
607,nm0687146,2024-01-08,2024-01-08,"2265 points","Jesse Plemons","Game Night","2 апреля 1988 г."
608,nm0144045,2024-01-08,2024-01-08,"2254 points","Jean-Pierre Cassel","Le charme discret de la bourgeoisie","27 октября 1932 г."
609,nm6170168,2024-01-08,2024-01-08,"2251 points","Harris Dickinson","Beach Rats","24 июня 1996 г."
610,nm0555093,2024-01-08,2024-01-08,"2250 points","Fele Martínez","Abre los ojos","22 февраля 1975 г."
611,nm1978402,2024-01-08,2024-01-08,"2245 points","Ha Jung-woo","Hwanghae","11 марта 1978 г."
612,nm0350350,2024-01-08,2024-01-08,"2214 points","Michael Gwisdek","Der Baader Meinhof Komplex","14 января 1942 г."
613,nm3858973,2024-03-11,2024-03-11,"2211 points","Ramy Youssef","Ramy","26 марта 1991 г."
614,nm0675409,2024-01-08,2024-01-08,"2207 points","Mikael Persbrandt","Hævnen","25 сентября 1963 г."
615,nm0768334,2024-01-08,2024-01-08,"2197 points","John Saxon","A Nightmare on Elm Street","5 августа 1936 г."
616,nm0000387,2024-01-08,2024-01-08,"2197 points","Robert Englund","A Nightmare on Elm Street","6 июня 1947 г."
617,nm0000527,2024-01-08,2024-01-08,"2172 points","Walter Matthau","The Odd Couple","1 октября 1920 г."
618,nm0496932,2024-04-15,2024-04-15,"2159 points","Lee Byung-hun","Dalkomhan insaeng","12 июля 1970 г."
619,nm0001297,2024-01-08,2024-01-08,"2155 points","Joel Grey","Cabaret","11 апреля 1932 г."
620,nm0005403,2024-01-08,2024-01-08,"2143 points","Jason Schwartzman","Rushmore","26 июня 1980 г."
621,nm0319843,2024-01-08,2024-01-08,"2118 points","Daniel Giménez Cacho","Bardo, falsa crónica de unas cuantas verdades","15 мая 1961 г."
622,nm0002075,2024-01-08,2024-01-08,"2109 points","Peter Finch","Network","28 сентября 1916 г."
623,nm0347797,2024-01-08,2024-01-08,"2091 points","Sean Gullette","Pi","4 июня 1968 г."
624,nm0000188,2024-01-08,2024-01-08,"2089 points","Steve Martin","Roxanne","14 августа 1945 г."
625,nm0176981,2024-01-08,2024-01-08,"2068 points","Dane Cook","Good Luck Chuck","18 марта 1972 г."
626,nm0569000,2024-01-08,2024-01-08,"2067 points","Darren McGavin","A Christmas Story","7 мая 1922 г."
627,nm0000004,2024-01-08,2024-01-08,"2054 points","John Belushi","Saturday Night Live","24 января 1949 г."
628,nm0001059,2024-01-08,2024-01-08,"2050 points","Robbie Coltrane","Cracker","30 марта 1950 г."
629,nm0007183,2024-01-08,2024-01-08,"2050 points","Ian Richardson","From Hell","7 апреля 1934 г."
630,nm0002076,2024-01-08,2024-01-08,"2050 points","Jason Flemyng","The Curious Case of Benjamin Button","25 сентября 1966 г."
631,nm0050959,2024-01-08,2024-01-08,"2032 points","Pedro Pascal","The Last of Us","2 апреля 1975 г."
632,nm0364813,2024-02-24,2024-02-24,"2030 points","Jared Harris","Chernobyl","24 августа"
633,nm0000075,2024-01-08,2024-01-08,"2022 points","Spencer Tracy","Judgment at Nuremberg","5 апреля 1900 г."
634,nm0001659,2024-01-08,2024-01-08,"2012 points","Christopher Reeve","Superman","25 сентября 1952 г."
635,nm0437580,2024-01-08,2024-01-08,"2012 points","Takeshi Kaneshiro","Shi mian mai fu","11 октября 1973 г."
636,nm0191950,2024-01-08,2024-01-08,"1992 points","Robert Cummings","Dial M for Murder","9 июня 1910 г."
637,nm5189784,2024-01-08,2024-01-08,"1976 points","Alex Sharp","The Trial of the Chicago 7","2 февраля"
638,nm0056187,2024-01-08,2024-01-08,"1976 points","Sacha Baron Cohen","Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan","13 октября 1971 г."
639,nm0001832,2024-01-08,2024-01-08,"1958 points","Sam Waterston","The Killing Fields","15 ноября 1940 г."
640,nm0625789,2024-01-08,2024-01-08,"1944 points","Tim Blake Nelson","The Ballad of Buster Scruggs","11 мая 1964 г."
641,nm1035643,2024-01-08,2024-01-08,"1932 points","Frederick Lau","Victoria","17 августа 1989 г."
642,nm0001590,2024-01-08,2024-01-08,"1911 points","Chazz Palminteri","The Usual Suspects","15 мая 1952 г."
643,nm0000969,2024-01-08,2024-01-08,"1911 points","Lillo Brancato","A Bronx Tale","30 марта 1976 г."
644,nm1710309,2024-01-08,2024-01-08,"1905 points","Emory Cohen","Brooklyn","13 марта 1990 г."
645,nm0001511,2024-01-08,2024-01-08,"1886 points","Lee Marvin","Paint Your Wagon","19 февраля 1924 г."
646,nm0001115,2024-01-08,2024-01-08,"1878 points","Ossie Davis","Do the Right Thing","18 декабря 1917 г."
647,nm1235292,2024-01-08,2024-01-08,"1861 points","Kim Sang-kyung","Salinui chueok","1 июня 1972 г."
648,nm1323287,2024-01-08,2024-01-08,"1861 points","Kim Roe-ha","Salinui chueok","15 ноября 1965 г."
649,nm0947338,2024-01-08,2024-01-08,"1852 points","Anton Yelchin","Star Trek","11 марта 1989 г."
650,nm0374949,2024-01-08,2024-01-08,"1852 points","Johan Heldenbergh","The Broken Circle Breakdown","11 мая 1967 г."
651,nm1375877,2024-01-08,2024-01-08,"1841 points","Juan Minujín","The Two Popes","20 мая 1975 г."
652,nm0000287,2024-01-08,2024-01-08,"1813 points","William Baldwin","Backdraft","21 февраля 1963 г."
653,nm0518687,2024-04-07,2024-04-07,"1807 points","Daniel London","Minority Report","16 февраля 1973 г."
654,nm2129938,2024-01-08,2024-01-08,"1785 points","Thomas Turgoose","This Is England","11 февраля 1992 г."
655,nm0001816,2024-01-08,2024-01-08,"1764 points","Robert Vaughn","The Magnificent Seven","22 ноября 1932 г."
656,nm0771713,2024-01-08,2024-01-08,"1757 points","Tom Schilling","Oh Boy","10 февраля 1982 г."
657,nm10574081,2024-03-11,2024-03-11,"1739 points","Andrew Barth Feldman","No Hard Feelings","7 мая 2002 г."
658,nm0000693,2024-01-08,2024-01-08,"1734 points","Peter Weller","RoboCop","24 июня 1947 г."
659,nm0159789,2024-01-08,2024-02-08,"1731 points","Hayden Christensen","Star Wars: Episode II - Attack of the Clones","19 апреля 1981 г."
660,nm1339223,2024-01-08,2024-01-08,"1724 points","Ty Simpkins","Jurassic World","6 августа 2001 г."
661,nm0000015,2024-01-08,2024-01-08,"1723 points","James Dean","East of Eden","8 февраля 1931 г."
662,nm0360598,2024-01-08,2024-01-08,"1723 points","Glen Hansard","Once","21 апреля 1970 г."
663,nm3886586,2024-01-08,2024-01-08,"1717 points","Diego Calva","Babylon","16 марта 1992 г."
664,nm0000961,2024-01-08,2024-01-08,"1709 points","Timothy Bottoms","The Last Picture Show","30 августа 1951 г."
665,nm1089991,2024-01-08,2024-01-08,"1695 points","Tom Hiddleston","The Avengers","9 февраля 1981 г."
666,nm0000347,2024-01-08,2024-01-08,"1683 points","Tim Curry","The Rocky Horror Picture Show","19 апреля 1946 г."
667,nm0803889,2024-01-08,2024-01-08,"1674 points","Bill Skarsgård","It","9 августа 1990 г."
668,nm0001471,2024-01-08,2024-01-08,"1668 points","Jerry Lewis","The Nutty Professor","16 марта 1926 г."
669,nm0244151,2024-01-08,2024-01-08,"1657 points","Romain Duris","De battre mon coeur s'est arrêté","28 мая 1974 г."
670,nm0001724,2024-01-08,2024-01-08,"1650 points","Tony Shalhoub","Monk","9 октября 1953 г."
671,nm0908153,2024-01-08,2024-01-08,"1637 points","Robert Walker","Strangers on a Train","13 октября 1918 г."
672,nm0432007,2024-01-08,2024-01-08,"1632 points","Curd Jürgens","The Spy Who Loved Me","13 декабря 1915 г."
673,nm0001811,2024-01-08,2024-01-08,"1616 points","Peter Ustinov","Spartacus","16 апреля 1921 г."
674,nm0000069,2024-01-08,2024-01-08,"1612 points","Frank Sinatra","From Here to Eternity","12 декабря 1915 г."
675,nm0001067,2024-01-08,2024-01-08,"1600 points","Jackie Coogan","Oliver Twist","26 октября 1914 г."
676,nm0684929,2024-01-08,2024-01-08,"1580 points","Roddy Piper","They Live","17 апреля 1954 г."
677,nm0001374,2024-01-08,2024-01-08,"1576 points","Jeffrey Hunter","The Searchers","25 ноября 1926 г."
678,nm0724732,2024-01-08,2024-01-08,"1573 points","Ralph Richardson","Doctor Zhivago","19 декабря 1902 г."
679,nm0404158,2024-01-08,2024-01-08,"1555 points","Walter Huston","The Treasure of the Sierra Madre","5 апреля 1883 г."
680,nm0000044,2024-01-08,2024-01-08,"1551 points","Burt Lancaster","From Here to Eternity","2 ноября 1913 г."
681,nm0001050,2024-01-08,2024-01-08,"1551 points","Montgomery Clift","From Here to Eternity","17 октября 1920 г."
682,nm0001699,2024-01-08,2024-01-08,"1541 points","Telly Savalas","Kojak","21 января 1922 г."
683,nm0000061,2024-01-08,2024-01-08,"1528 points","Tyrone Power","Witness for the Prosecution","5 мая 1914 г."
684,nm0543547,2024-01-08,2024-01-08,"1526 points","Predrag 'Miki' Manojlovic","Underground","5 апреля 1950 г."
685,nm0001703,2024-01-08,2024-01-08,"1524 points","Maximilian Schell","Judgment at Nuremberg","8 декабря 1930 г."
686,nm1374980,2024-03-11,2024-03-11,"1504 points","Zac Efron","High School Musical 3: Senior Year","18 октября 1987 г."
