Position,Const,Created,Modified,Description,Name,Known For,Birth Date
687,nm0000472,2024-01-08,2024-01-08,"1496 points","Boris Karloff","The Bride of Frankenstein","23 ноября 1887 г."
688,nm0000352,2024-01-08,2024-01-08,"1493 points","Vincent D'Onofrio","Men in Black","30 июня 1959 г."
689,nm0936353,2024-01-08,2024-01-08,"1490 points","Greg Wise","Sense and Sensibility","15 мая 1966 г."
690,nm0000036,2024-01-08,2024-01-08,"1489 points","Buster Keaton","The General","4 октября 1895 г."
691,nm0721073,2024-01-08,2024-01-08,"1484 points","Fernando Rey","Tristana","20 сентября 1917 г."
692,nm1569276,2024-01-08,2024-01-08,"1469 points","Chadwick Boseman","Black Panther","29 ноября 1976 г."
693,nm0001847,2024-01-08,2024-01-08,"1446 points","Richard Widmark","Kiss of Death","26 декабря 1914 г."
694,nm4150847,2024-01-08,2024-02-27,"1435 points","Stephan James","Race","16 декабря 1993 г."
695,nm0867694,2024-01-08,2024-01-08,"1427 points","Topol","Fiddler on the Roof","9 сентября 1935 г."
696,nm0005148,2024-01-08,2024-01-08,"1426 points","Delroy Lindo","Get Shorty","18 ноября 1952 г."
697,nm0557339,2024-01-08,2024-01-08,"1413 points","Raymond Massey","Arsenic and Old Lace","30 августа 1896 г."
698,nm0000763,2024-01-08,2024-01-08,"1392 points","Dana Andrews","Laura","1 января 1909 г."
699,nm4154798,2024-01-08,2024-01-08,"1391 points","Brenton Thwaites","Pirates of the Caribbean: Dead Men Tell No Tales","10 августа 1989 г."
700,nm3529685,2024-01-08,2024-01-08,"1390 points","Kumail Nanjiani","The Big Sick","2 мая 1978 г."
701,nm0000011,2024-01-08,2024-01-08,"1389 points","Gary Cooper","High Noon","7 мая 1901 г."
702,nm0273178,2024-01-08,2024-01-08,"1389 points","Fernando Fernán Gómez","El abuelo","28 августа 1921 г."
703,nm0001428,2024-01-08,2024-01-08,"1386 points","Klaus Kinski","Nosferatu - Phantom der Nacht","18 октября 1926 г."
704,nm0001283,2024-01-08,2024-01-08,"1370 points","Louis Gossett Jr.","An Officer and a Gentleman","27 мая 1936 г."
705,nm0451321,2024-01-08,2024-01-08,"1370 points","Shah Rukh Khan","Don 2","2 ноября 1965 г."
706,nm1946193,2024-01-08,2024-01-08,"1369 points","Jamie Dornan","The Fall","1 мая 1982 г."
707,nm0001354,2024-01-08,2024-01-08,"1369 points","Ciarán Hinds","Belfast","9 февраля 1953 г."
708,nm0666739,2024-01-08,2024-01-08,"1367 points","Aaron Paul","Breaking Bad","27 августа 1979 г."
709,nm3236159,2024-01-08,2024-01-08,"1367 points","Paul Walter Hauser","Cobra Kai","15 октября 1986 г."
710,nm0007217,2024-01-08,2024-01-08,"1365 points","Jack Carson","Cat on a Hot Tin Roof","27 октября 1910 г."
711,nm0900915,2024-01-08,2024-01-08,"1332 points","Jürgen Vogel","Die Welle","29 апреля 1968 г."
712,nm0726262,2024-01-08,2024-01-08,"1332 points","Max Riemelt","Napola - Elite für den Führer","7 января 1984 г."
713,nm0000886,2024-01-08,2024-01-08,"1330 points","Warren Beatty","Heaven Can Wait","30 марта 1937 г."
714,nm0002994,2024-01-08,2024-01-08,"1317 points","Kevin McCarthy","Invasion of the Body Snatchers","15 февраля 1914 г."
715,nm0001277,2024-02-06,2024-02-06,"1316 points","Scott Glenn","The Hunt for Red October","26 января 1939 г."
716,nm1035682,2024-03-09,2024-04-18,"1316 points","Derek Luke","Antwone Fisher","24 апреля 1974 г."
717,nm0286010,2024-01-08,2024-01-08,"1306 points","Ken Foree","Dawn of the Dead","29 февраля 1948 г."
718,nm0773308,2024-01-08,2024-01-08,"1305 points","Sebastian Urzendowsky","The Way Back","28 мая 1985 г."
719,nm0529543,2024-01-08,2024-01-08,"1299 points","Jean-Pierre Léaud","Les quatre cents coups","28 мая 1944 г."
720,nm0775180,2024-01-08,2024-01-08,"1298 points","Max Schreck","Nosferatu, eine Symphonie des Grauens","6 сентября 1879 г."
721,nm3092471,2024-01-08,2024-01-08,"1287 points","Marwan Kenzari","Aladdin","16 января 1983 г."
722,nm1654982,2024-03-09,2024-03-09,"1267 points","Teo Yoo","Past Lives","11 апреля 1981 г."
723,nm0226820,2024-01-08,2024-05-05,"1266 points","Stephen Dillane","The Hours","27 марта 1957 г."
724,nm0052023,2024-01-08,2024-01-08,"1237 points","Donatas Banionis","Solyaris","28 апреля 1924 г."
725,nm3081796,2024-01-08,2024-01-08,"1229 points","Steven Yeun","Minari","21 декабря 1983 г."
726,nm0000057,2024-01-08,2024-01-08,"1228 points","David Niven","Murder by Death","1 марта 1910 г."
727,nm0132257,2024-01-08,2024-01-08,"1222 points","Bruce Campbell","Bubba Ho-Tep","22 июня 1958 г."
728,nm0382830,2024-01-08,2024-01-08,"1222 points","Dan Hicks","Darkman","19 июля 1951 г."
729,nm0036427,2024-01-08,2024-01-08,"1219 points","Edward Arnold","You Can't Take It with You","18 февраля 1890 г."
730,nm0001434,2024-01-08,2024-01-08,"1219 points","Kris Kristofferson","Blade","22 июня 1936 г."
731,nm0000483,2024-01-08,2024-01-08,"1214 points","Christopher Lambert","Highlander","29 марта 1957 г."
732,nm0509264,2024-01-08,2024-01-08,"1208 points","Anders Danielsen Lie","Verdens verste menneske","1 января 1979 г."
733,nm0430107,2024-01-08,2024-01-08,"1200 points","Michael B. Jordan","Black Panther","9 февраля 1987 г."
734,nm8958770,2024-01-08,2024-01-08,"1189 points","Paul Mescal","All of Us Strangers","2 февраля 1996 г."
735,nm0835016,2024-02-05,2024-02-05,"1185 points","Mark Strong","1917","5 августа 1963 г."
736,nm0001719,2024-01-08,2024-01-08,"1175 points","George Segal","Who's Afraid of Virginia Woolf?","13 февраля 1934 г."
737,nm0827561,2024-01-09,2024-01-09,"1172 points","Maury Sterling","Coherence","1 сентября 1971 г."
738,nm0107183,2024-01-09,2024-01-09,"1172 points","Nicholas Brendon","Buffy the Vampire Slayer","12 апреля 1971 г."
739,nm0091899,2024-03-09,2024-03-09,"1160 points","Eric Bogosian","Talk Radio","24 апреля 1953 г."
740,nm0000491,2024-01-08,2024-01-08,"1160 points","John Leguizamo","Moulin Rouge!","22 июля 1960 г."
741,nm0700875,2024-01-08,2024-01-08,"1156 points","Om Puri","The Hundred-Foot Journey","18 октября 1950 г."
742,nm2110485,2024-01-08,2024-01-08,"1156 points","Manish Dayal","The Hundred-Foot Journey","17 июня"
743,nm4055138,2024-01-08,2024-01-08,"1147 points","Charlie Plummer","Looking for Alaska","24 мая 1999 г."
744,nm2240346,2024-01-08,2024-01-08,"1143 points","Kodi Smit-McPhee","Let Me In","13 июня 1996 г."
745,nm0000391,2024-01-08,2024-01-08,"1137 points","Rupert Everett","My Best Friend's Wedding","29 мая 1959 г."
746,nm3584268,2024-01-08,2024-01-08,"1123 points","James Norton","Little Women","18 июля 1985 г."
747,nm0412322,2024-01-08,2024-01-08,"1122 points","Burl Ives","The Big Country","14 июня 1909 г."
748,nm0722629,2024-01-08,2024-01-08,"1111 points","Matthew Rhys","A Beautiful Day in the Neighborhood","8 ноября 1974 г."
749,nm0065235,2024-01-08,2024-01-08,"1105 points","Michael Beck","The Warriors","4 февраля 1949 г."
750,nm0280559,2024-01-08,2024-01-08,"1102 points","Leo Fitzpatrick","Kids","10 августа 1978 г."
751,nm0682399,2024-01-08,2024-01-08,"1102 points","Justin Pierce","Kids","21 марта 1975 г."
752,nm0921459,2024-01-08,2024-01-08,"1093 points","Oskar Werner","Ship of Fools","13 ноября 1922 г."
753,nm0793784,2024-04-23,2024-04-23,"1089 points","Shin Ha-kyun","Boksuneun naui geot","30 мая 1974 г."
754,nm1296587,2024-01-08,2024-01-08,"1085 points","Robin de Jesus","tick, tick...BOOM!","21 августа 1984 г."
755,nm0880484,2024-01-08,2024-01-08,"1082 points","Gaspard Ulliel","Un long dimanche de fiançailles","25 ноября 1984 г."
756,nm0684500,2024-01-08,2024-01-08,"1081 points","Dominique Pinon","Delicatessen","4 марта 1955 г."
757,nm0241748,2024-01-08,2024-01-08,"1078 points","Dennis Dun","Big Trouble in Little China","19 апреля 1952 г."
758,nm0179173,2024-01-08,2024-01-08,"1075 points","John Corbett","My Big Fat Greek Wedding","9 мая 1961 г."
759,nm0785842,2024-01-08,2024-01-08,"1073 points","Toni Servillo","La grande bellezza","25 января 1959 г."
760,nm1405398,2024-01-08,2024-01-08,"1059 points","Dan Stevens","Downton Abbey","10 октября 1982 г."
761,nm0674782,2024-01-08,2024-01-08,"1056 points","Harold Perrineau","Romeo + Juliet","7 августа 1963 г."
762,nm0202970,2024-01-08,2024-01-08,"1054 points","Larry David","Whatever Works","2 июля 1947 г."
763,nm0002048,2024-01-08,2024-01-08,"1039 points","Melvyn Douglas","Being There","5 апреля 1901 г."
764,nm0000809,2024-01-08,2024-01-08,"1030 points","Daniel Auteuil","Caché","24 января 1950 г."
765,nm0518821,2024-01-08,2024-01-08,"1027 points","John Lone","The Last Emperor","13 октября 1952 г."
766,nm1676649,2024-01-08,2024-01-08,"1026 points","Nate Parker","The Birth of a Nation","18 ноября 1979 г."
767,nm1091701,2024-01-08,2024-01-08,"1026 points","Denzel Whitaker","The Great Debaters","15 июня 1990 г."
768,nm0133899,2024-01-08,2024-01-08,"1011 points","Guillaume Canet","Jeux d'enfants","10 апреля 1973 г."
769,nm1540404,2024-01-08,2024-01-08,"1004 points","Max Minghella","The Handmaid's Tale","16 сентября 1985 г."
770,nm1227232,2024-01-08,2024-01-08,"1000 points","Brady Corbet","Funny Games","17 августа 1988 г."
771,nm0002131,2024-01-08,2024-01-08,"984 points","Laurence Harvey","The Manchurian Candidate","1 октября 1928 г."
772,nm0748620,2024-01-08,2024-01-08,"979 points","Paul Rudd","Ant-Man","6 апреля 1969 г."
773,nm1064292,2024-01-08,2024-01-08,"979 points","Craig Roberts","Submarine","21 января 1991 г."
774,nm0000901,2024-01-08,2024-01-08,"975 points","Jean-Paul Belmondo","Pierrot le fou","9 апреля 1933 г."
775,nm0001322,2024-01-08,2024-01-08,"975 points","Rex Harrison","My Fair Lady","5 марта 1908 г."
776,nm0000469,2024-01-08,2024-01-08,"974 points","James Earl Jones","Rogue One","17 января 1931 г."
777,nm0000188,2024-01-08,2024-01-08,"972 points","Steve Martin","Roxanne","14 августа 1945 г."
778,nm0308039,2024-01-08,2024-01-08,"967 points","Louis Garrel","The Dreamers","14 июня 1983 г."
779,nm3115493,2024-02-07,2024-02-07,"965 points","Ben Schnetzer","Pride","8 февраля 1990 г."
780,nm0001113,2024-01-08,2024-01-08,"964 points","Brad Davis","Midnight Express","6 ноября 1949 г."
781,nm0289142,2024-01-08,2024-01-08,"959 points","Matthew Fox","Bone Tomahawk","14 июля 1966 г."
782,nm0582890,2024-01-08,2024-01-08,"955 points","Paul Meurisse","Les diaboliques","21 декабря 1912 г."
783,nm0509263,2024-01-08,2024-01-08,"946 points","Nikolaj Lie Kaas","Kvinden i buret","22 мая 1973 г."
784,nm0117368,2024-01-08,2024-01-08,"946 points","Lars Brygmann","Retfærdighedens ryttere","17 февраля 1957 г."
785,nm1410940,2024-01-08,2024-01-08,"945 points","Lily Franky","Manbiki kazoku","4 ноября 1963 г."
786,nm1281229,2024-01-08,2024-01-08,"933 points","Hugo Silva","El cuerpo","10 мая 1977 г."
787,nm0000987,2024-01-08,2024-01-08,"927 points","Jim Brown","Mars Attacks!","17 февраля 1936 г."
788,nm0001555,2024-01-08,2024-01-08,"927 points","Rob Morrow","Northern Exposure","21 сентября 1962 г."
789,nm0475165,2024-01-08,2024-01-08,"926 points","Jun Kunimura","Kill Bill: Vol. 1","16 ноября 1955 г."
790,nm0000865,2024-01-08,2024-01-08,"921 ponts","Richard Basehart","Moby Dick","31 августа 1914 г."
791,nm0148516,2024-01-08,2024-01-08,"913 points","Aleksey Serebryakov","Leviafan","3 июля 1964 г."
792,nm0535295,2024-01-08,2024-01-08,"913 points","Roman Madyanov","Leviafan","22 июля 1962 г."
793,nm1284690,2024-01-08,2024-01-08,"913 points","Vladimir Vdovichenkov","Leviafan","13 августа 1971 г."
794,nm3729612,2024-01-08,2024-01-08,"913 points","Aleksey Rozin","Nelyubov","4 февраля 1978 г."
795,nm2584860,2024-01-08,2024-01-08,"913 points","Yoo Ah-in","Yungnyong-i Nareusya","6 октября 1986 г."
796,nm3081796,2024-01-08,2024-01-08,"913 points","Steven Yeun","Minari","21 декабря 1983 г."
797,nm3841091,2024-01-08,2024-01-08,"908 points","Adarsh Gourav","The White Tiger","8 июля 1994 г."
798,nm3822770,2024-01-08,2024-01-08,"908 points","Rajkummar Rao","Shahid","31 августа 1984 г."
799,nm0430107,2024-01-08,2024-01-08,"906 points","Michael B. Jordan","Black Panther","9 февраля 1987 г."
800,nm0527002,2024-01-08,2024-01-08,"900 points","Federico Luppi","Cronos","23 февраля 1934 г."
801,nm3041056,2024-03-23,2024-03-23,"897 points","Christian Friedel","The Zone of Interest","9 марта 1979 г."
802,nm0869088,2024-01-08,2024-01-08,"894 points","Luis Tosar","Celda 211","13 октября 1971 г."
803,nm0728476,2024-01-08,2024-01-08,"889 points","Lazar Ristovski","Underground","26 октября 1952 г."
804,nm0061484,2024-01-08,2024-01-08,"884 points","Giuseppe Battiston","Perfetti sconosciuti","22 июля 1968 г."
805,nm0316074,2024-01-08,2024-01-08,"884 points","Marco Giallini","Perfetti sconosciuti","4 апреля 1963 г."
806,nm0000817,2024-01-08,2024-01-08,"877 points","Lew Ayres","Holiday","28 декабря 1908 г."
807,nm0000393,2024-01-08,2024-01-08,"869 points","Peter Falk","Columbo","16 сентября 1927 г."
808,nm0001970,2024-01-08,2024-01-08,"861 points","Klaus Maria Brandauer","Out of Africa","22 июня 1943 г."
809,nm0183822,2024-01-08,2024-01-08,"860 points","Tom Courtenay","45 Years","25 февраля 1937 г."
810,nm0676973,2024-01-08,2024-01-08,"860 points","William Petersen","CSI: Crime Scene Investigation","21 февраля 1953 г."
811,nm0001329,2024-01-08,2024-01-08,"840 points","Nigel Hawthorne","The Madness of King George","5 апреля 1929 г."
812,nm0470328,2024-01-08,2024-01-08,"837 points","Werner Krauss","Das Cabinet des Dr. Caligari","23 июня 1884 г."
813,nm4199420,2024-01-08,2024-01-08,"830 points","Aras Bulut Iynemli","Çukur","25 августа 1990 г."
814,nm3306943,2024-01-08,2024-01-08,"828 points","James Frecheville","Animal Kingdom","3 мая 1991 г."
815,nm3718007,2024-01-08,2024-01-08,"819 points","Jonathan Majors","The Harder They Fall","7 сентября 1989 г."
816,nm0001509,2024-01-08,2024-01-08,"818 points","Dean Martin","The Dean Martin Show","7 июня 1917 г."
817,nm0618057,2024-01-08,2024-01-08,"817 points","Ulrich Mühe","Das Leben der Anderen","20 июня 1953 г."
818,nm0559647,2024-01-08,2024-01-08,"814 points","Yutaka Matsushige","Shinobi","19 января 1963 г."
819,nm0545298,2024-01-08,2024-01-08,"808 points","Fredric March","Inherit the Wind","31 августа 1897 г."
820,nm0639563,2024-01-08,2024-01-08,"808 points","George O'Brien","Sunrise: A Song of Two Humans","19 апреля 1899 г."
821,nm0494078,2024-01-08,2024-01-08,"799 points","Samuel Le Bihan","Le pacte des loups","2 ноября 1965 г."
822,nm0753737,2024-01-08,2024-01-08,"799 points","Jérémie Renier","In Bruges","6 января 1981 г."
823,nm0006890,2024-01-08,2024-01-08,"792 points","Paul Scofield","A Man for All Seasons","21 января 1922 г."
824,nm0915840,2024-01-08,2024-01-08,"789 points","Dennis Weaver","Touch of Evil","4 июня 1924 г."
825,nm0667282,2024-01-08,2024-01-08,"785 points","Gastón Pauls","Nueve reinas","17 января 1972 г."
826,nm0952498,2024-01-08,2024-01-08,"760 points","Zbigniew Zamachowski","Trois couleurs: Blanc","17 июля 1961 г."
827,nm0301515,2024-01-08,2024-01-08,"760 points","Janusz Gajos","Trois couleurs: Blanc","23 сентября 1939 г."
828,nm0836136,2024-01-08,2024-01-08,"760 points","Jerzy Stuhr","Historie milosne","18 апреля 1947 г."
829,nm0001424,2024-01-08,2024-01-08,"756 points","Udo Kier","OD","14 октября"
830,nm0001117,2024-01-08,2024-01-08,"738 points","Bruce Davison","X-Men","28 июня 1946 г."
831,nm0911542,2024-01-08,2024-01-08,"738 points","Fred Ward","Short Cuts","30 декабря 1942 г."
832,nm0001606,2024-01-08,2024-01-08,"738 points","Chris Penn","Reservoir Dogs","10 октября 1965 г."
833,nm0001251,2024-01-08,2024-01-08,"738 points","Peter Gallagher","American Beauty","19 августа 1955 г."
834,nm0340926,2024-01-08,2024-01-08,"732 points","Helmut Griem","Cabaret","6 апреля 1932 г."
835,nm0734000,2024-01-08,2024-01-08,"730 points","Jean Rochefort","L'homme du train","29 апреля 1930 г."
836,nm0945131,2024-07-09,2024-07-09,"730 points","Koji Yakusho","Perfect Days","1 января 1956 г."
837,nm6722749,2024-01-08,2024-01-08,"730 points","Lucas Jade Zumann","20th Century Women","12 декабря 2000 г."
838,nm2412823,2024-01-08,2024-01-08,"729 points","Kim Yoon-seok","Chugyeokja","21 января 1968 г."
839,nm0007042,2024-01-08,2024-01-08,"728 points","Herbert Lom","The Pink Panther Strikes Again","11 сентября 1917 г."
840,nm0632689,2024-01-08,2024-01-08,"727 points","Hidetoshi Nishijima","Doraibu mai kâ","29 марта 1971 г."
841,nm0000747,2024-01-08,2024-01-08,"724 points","Don Ameche","Cocoon","31 мая 1908 г."
842,nm0000979,2024-01-08,2024-01-08,"724 points","Wilford Brimley","The Natural","27 сентября 1934 г."
843,nm0002025,2024-01-08,2024-01-08,"724 points","Hume Cronyn","Cocoon","18 июля 1911 г."
844,nm0001133,2024-01-08,2024-01-08,"724 points","Brian Dennehy","First Blood","9 июля 1938 г."
845,nm0318527,2024-01-08,2024-01-08,"724 points","Jack Gilford","Cocoon","25 июля 1908 г."
846,nm0000430,2024-01-08,2024-01-08,"724 points","Steve Guttenberg","Short Circuit","24 августа 1958 г."
847,nm0829032,2024-06-03,2024-06-03,"721 points","Ray Stevenson","The Three Musketeers","25 мая 1964 г."
848,nm4608165,2024-01-08,2024-01-08,"714 points","Antoine Olivier Pilon","Mommy","23 июня 1997 г."
849,nm0001831,2024-01-08,2024-01-08,"713 points","David Warner","Titanic","29 июля 1941 г."
850,nm0753479,2024-01-08,2024-01-08,"711 points","Chishû Ryû","Tôkyô monogatari","13 мая 1904 г."
851,nm0001418,2024-01-08,2024-01-08,"709 points","David Keith","An Officer and a Gentleman","8 мая 1954 г."
852,nm2580347,2024-01-08,2024-01-08,"706 points","The Marx Brothers","Duck Soup",
853,nm0001357,2024-01-08,2024-01-08,"700 points","Paul Hogan","Crocodile Dundee","8 октября 1939 г."
854,nm1587729,2024-01-08,2024-01-08,"700 points","Finn Wittrock","American Horror Story","28 октября 1984 г."
855,nm0147767,2024-01-08,2024-01-08,"695 points","Jakob Cedergren","Den skyldige","10 января 1973 г."
856,nm1030819,2024-01-08,2024-01-08,"695 points","Jae Hee","Bin-jip","25 мая 1980 г."
857,nm0524197,2024-04-18,2024-04-18,"693 points","Josh Lucas","Ford v Ferrari","20 июня 1971 г."
858,nm0719692,2024-01-08,2024-01-08,"683 points","Michael Rennie","The Day the Earth Stood Still","25 августа 1909 г."
859,nm3510471,2024-01-08,2024-01-08,"682 points","Sam Claflin","Snow White and the Huntsman","27 июня 1986 г."
860,nm4207146,2024-01-08,2024-01-08,"676 points","Jason Mitchell","Straight Outta Compton","5 января 1987 г."
861,nm3779182,2024-01-08,2024-01-08,"658 points","Chino Darín","La noche de 12 años","14 января 1989 г."
862,nm0349522,2024-01-08,2024-01-08,"658 points","Javier Gutiérrez","La isla mínima","17 января 1971 г."
863,nm1486647,2024-01-08,2024-01-08,"658 points","Álvaro Morte","La casa de papel","23 февраля 1975 г."
864,nm0001314,2024-01-08,2024-01-08,"646 points","John Hannah","Four Weddings and a Funeral","23 апреля 1962 г."
865,nm0001487,2024-01-08,2024-01-08,"646 points","John Lynch","Black Death","26 декабря 1961 г."
866,nm0714878,2024-01-08,2024-01-08,"640 points","Michael Redgrave","The Lady Vanishes","20 марта 1908 г."
867,nm0598971,2024-01-08,2024-01-08,"639 points","Yves Montand","Jean de Florette","13 октября 1921 г."
868,nm0960379,2024-01-08,2024-01-08,"635 points","Birol Ünel","Gegen die Wand","18 августа 1961 г."
869,nm0954225,2024-01-08,2024-01-08,"635 points","Kevin Zegers","Transamerica","19 сентября 1984 г."
870,nm0000141,2024-01-08,2024-01-08,"629 points","David Duchovny","The X Files","7 августа 1960 г."
871,nm0431139,2024-01-08,2024-01-08,"627 points","Louis Jourdan","Octopussy","19 июня 1921 г."
872,nm0703033,2024-01-08,2024-01-08,"625 points","Anthony Quayle","Lawrence of Arabia","7 сентября 1913 г."
873,nm0000708,2024-01-08,2024-01-08,"625 points","Billy Zane","Titanic","24 февраля 1966 г."
874,nm0232196,2024-01-08,2024-01-08,"612 points","Robert Donat","The 39 Steps","18 марта 1905 г."
875,nm3718007,2024-01-08,2024-01-08,"607 points","Jonathan Majors","The Harder They Fall","7 сентября 1989 г."
876,nm0038355,2024-01-08,2024-01-08,"607 points","Tadanobu Asano","Mongol","27 ноября 1973 г."
877,nm0926183,2024-01-08,2024-01-08,"603 points","Stuart Whitman","The Comancheros","1 февраля 1928 г."
878,nm0001958,2024-01-08,2024-01-08,"601 points","Dirk Bogarde","The Servant","28 марта 1921 г."
879,nm1796057,2024-01-08,2024-01-08,"600 points","Max Irons","Condor","17 октября 1985 г."
880,nm4453291,2024-01-08,2024-01-08,"600 points","Franz Rogowski","Transit","2 февраля 1986 г."
881,nm0000509,2024-01-08,2024-01-08,"598 points","Bela Lugosi","Dracula","20 октября 1882 г."
882,nm1270590,2024-01-08,2024-01-08,"595 points","Andreas Wilson","Ondskan","7 марта 1981 г."
883,nm0526616,2024-01-08,2024-01-08,"595 points","Henrik Lundström","Bron/Broen","13 декабря 1983 г."
884,nm0001252,2024-01-08,2024-01-08,"593 points","Vincent Gallo","Buffalo '66","11 апреля 1961 г."
885,nm0001224,2024-01-08,2024-01-08,"589 points","Errol Flynn","The Adventures of Robin Hood","20 июня 1909 г."
886,nm0001651,2024-01-08,2024-01-08,"589 points","Basil Rathbone","The Adventures of Robin Hood","13 июня 1892 г."
887,nm0453448,2024-01-08,2024-01-08,"589 points","Kim Kap-su","Janghwa, Hongryeon","7 апреля 1957 г."
888,nm0001128,2024-01-08,2024-01-08,"588 points","Alain Delon","Le samouraï","8 ноября 1935 г."
889,nm0000681,2024-01-08,2024-01-08,"588 points","Vince Vaughn","The Break-Up","28 марта 1970 г."
890,nm0916067,2024-01-08,2024-01-08,"584 points","Clifton Webb","Laura","19 ноября 1889 г."
891,nm0001637,2024-01-08,2024-01-08,"584 points","Vincent Price","The Abominable Dr. Phibes","27 мая 1911 г."
892,nm0253216,2024-01-08,2024-01-08,"584 points","Karra Elejalde","Los cronocrímenes","10 октября 1960 г."
893,nm0731772,2024-01-08,2024-01-08,"581 points","Cliff Robertson","Spider-Man","9 сентября 1923 г."
894,nm1024677,2024-01-08,2024-01-08,"574 points","John Krasinski","Jack Ryan","20 октября 1979 г."
895,nm3140538,2024-01-08,2024-01-08,"572 points","Mikkel Boe Følsgaard","En kongelig affære","1 мая 1984 г."
896,nm4221607,2024-01-08,2024-01-08,"571 points","Dawid Ogrodnik","Cicha noc","15 июня 1986 г."
897,nm0001454,2024-01-08,2024-01-08,"570 points","Martin Lawrence","Martin","16 апреля 1965 г."
898,nm0205127,2024-01-08,2024-01-08,"570 points","Matthew Davis","Legally Blonde","8 мая 1978 г."
899,nm0681566,2024-01-08,2024-01-08,"564 points","Michel Piccoli","Le mépris","27 декабря 1925 г."
900,nm1914298,2024-01-08,2024-01-08,"563 points","Pål Sverre Hagen","Kraftidioten","6 ноября 1980 г."
901,nm0471601,2024-01-08,2024-01-08,"563 points","Anders Baasmo","Kon-Tiki","29 января 1976 г."
902,nm0617852,2024-01-08,2024-01-08,"560 points","Wotan Wilke Möhring","Pandorum","23 мая 1967 г."
903,nm1946193,2024-01-08,2024-01-08,"558 points","Jamie Dornan","The Fall","1 мая 1982 г."
904,nm0000896,2024-01-08,2024-01-08,"554 points","Harry Belafonte","Bobby","1 марта 1927 г."
905,nm0508293,2024-01-08,2024-01-08,"546 points","Thierry Lhermitte","Le dîner de cons","24 ноября 1952 г."
906,nm0898317,2024-01-08,2024-01-08,"546 points","Jacques Villeret","Le dîner de cons","6 февраля 1951 г."
907,nm0277424,2024-01-08,2024-01-08,"544 points","Jon Finch","Frenzy","2 марта 1942 г."
908,nm0856050,2024-01-08,2024-01-08,"538 points","Nigel Terry","Excalibur","15 августа 1945 г."
909,nm0000852,2024-01-08,2024-01-08,"536 points","Jean-Marc Barr","Le grand bleu","27 сентября 1960 г."
910,nm2092835,2024-01-08,2024-01-08,"536 points","Tom Payne","Prodigal Son","21 декабря 1982 г."
911,nm0553648,2024-01-08,2024-01-08,"536 points","Olivier Martinez","Unfaithful","12 января 1966 г."
912,nm0800638,2024-01-08,2024-01-08,"533 points","Peter Simonischek","Toni Erdmann","6 августа 1946 г."
913,nm1955257,2024-01-08,2024-01-08,"531 points","Lars Eidinger","Clouds of Sils Maria","21 января 1976 г."
914,nm1292111,2024-01-08,2024-01-08,"527 points","Asier Etxeandia","Dolor y gloria","27 июня 1975 г."
915,nm1741002,2024-01-08,2024-01-08,"522 points","Matt Smith","Doctor Who","28 октября 1982 г."
916,nm0350324,2024-01-08,2024-01-08,"515 points","Edmund Gwenn","Miracle on 34th Street","26 сентября 1877 г."
917,nm0668361,2024-01-08,2024-01-08,"515 points","John Payne","Miracle on 34th Street","28 мая 1912 г."
918,nm8822933,2024-01-08,2024-01-08,"508 points","Richie Merritt","White Boy Rick",
919,nm0557908,2024-01-08,2024-01-08,"507 points","Oliver Masucci","Dark","6 декабря 1968 г."
920,nm0378698,2024-01-08,2024-01-08,"507 points","Christoph Maria Herbst","Stromberg","9 февраля 1966 г."
921,nm0885203,2024-01-08,2024-01-08,"504 points","Raf Vallone","The Italian Job","17 февраля 1916 г."
922,nm0509583,2024-01-08,2024-01-08,"502 points","Jan Josef Liefers","Tatort","8 августа 1964 г."
